ref_article,designation,marque,famille,next_year,avg_forecast,trend_pct,trend_label,data_points
6192488209281,KIT SO NATURAL RB S/A 8.1,RENEE BLANCHE,MASS MARKET,2026,11918.902634999995,-51.35962019172048,Downtrend,2
REV1LV20,REVELATEUR 20V 1000ML,H. ZONE,TRESOR,2026,11763.331605558258,643.4644400213604,Stable,5
8006569140319,H.Z OXY 40V 1L,H. ZONE,IALO,2026,11642.971237010463,-36.2819049131183,Stable,6
RBT,TEINT RENEE BLANCHE 10.0  60ML,RENEE BLANCHE,COLORATION 60ML,2026,11448.66375205833,-78.85274245393026,Downtrend,5
HZTT1.1,TEINT HZ TRESOR SA 1.1,H. ZONE,TRESOR,2026,11276.492422400011,-6.743082740553634,Downtrend,5
RBT/8.13,TEINT RENEE BLANCHE 8.13  60ML,RENEE BLANCHE,COLORATION 60ML,2026,11236.519276641699,-68.37791310939659,Downtrend,5
HZTT7.14,TEINT HZ TRESOR SA 7.14,H. ZONE,TRESOR,2026,11152.151924841679,87.13150927414986,Stable,5
SERUM_RB_500ML,SERUM RB 500ML ,RENEE BLANCHE,0%SSP,2023,11129.393259999899,25.384295090741354,Uptrend,2
PA0424,BRASIL CACAU -ANTI FRIZZ SHAMPO A-1L  SULFATE FREE ,CADIVEU,SOINS CAPILLAIRES,2026,10816.405459333328,23.640681514916185,Downtrend,4
HZTT6.13,TEINT HZ TRESOR SA 6.13,H. ZONE,TRESOR,2026,10810.620970533328,55.99385177052299,Stable,5
HETT8.31,TEINT HZ TRESOR SA 8.31,H. ZONE,TRESOR,2026,10612.107713300004,28.477500800343464,Stable,5
6192488209205,KIT SO NATURAL RB S/A 5.0,RENEE BLANCHE,MASS MARKET,2026,10530.547035000001,-51.072907899748344,Downtrend,2
RBT/10.1,TEINT RENEE BLANCHE 10.1  60ML,RENEE BLANCHE,COLORATION 60ML,2026,10499.127752416414,-71.34858292398326,Downtrend,4
RBGDR,RB GEL DOUCHE RELAXANT 250ML-6192488205900,RENEE BLANCHE,MASS MARKET,2026,10348.264644666753,-16.50572693460448,Downtrend,4
PA0622,CADIVEU ESSENTIALS - HAIR REMEDY -REPAIR DOSE,CADIVEU,SOINS CAPILLAIRES,2026,10340.730124999942,38.43398885869537,Uptrend,2
RBGD250,RB GEL DOUCHE TROPICAL 250ML-6192488205863,RENEE BLANCHE,MASS MARKET,2026,10333.985640583327,-5.791566103025636,Downtrend,4
HETT10.1,TEINT HZ TRESOR SA 10.1,H. ZONE,TRESOR,2026,10305.31346761667,5.3170587822320305,Downtrend,5
HZTT5.00,TEINT HZ TRESOR SA 5.00,H. ZONE,TRESOR,2026,10302.237608399973,42.19766724207611,Stable,5
6192488209182,KIT SO NATURAL RB S/A 3.0,RENEE BLANCHE,MASS MARKET,2026,10283.264594999877,-45.7987589570687,Downtrend,2
6192488209199,KIT SO NATURAL RB S/A 4.0,RENEE BLANCHE,MASS MARKET,2026,10119.164290000002,-54.61829555073275,Downtrend,2
HZT/11.1,TEINT IALO 11.1 100ML,H. ZONE,IALO,2026,10074.266394421573,7.286774620771423,Downtrend,6
RBO602,R.B OXY 20V 60ML 6192488202336,RENEE BLANCHE,COLORATION 60ML,2026,10019.900077791599,-65.98239737896843,Downtrend,5
6192488208970,TEINT HZ TRESOR SA 6.11,H. ZONE,TRESOR,2026,10012.581836666675,-5.344494219510699,Stable,3
PA0218,CADIVEU - HAIR REMEDY REPAIR DOSE,CADIVEU,SOINS CAPILLAIRES,2024,10008.641650583391,218.01688894684347,Downtrend,4
HZTT10.0,TEINT HZ TRESOR SA 10.0,H. ZONE,TRESOR,2026,9901.568140325018,-15.707229794413468,Stable,5
SHAMP_RB_SILVER_1L,SHAMPOING RB SILVER 1L-6192488204897,RENEE BLANCHE,0%SSP,2026,9864.099602874978,-22.42968563873842,Downtrend,5
HZTT5.1,TEINT HZ TRESOR SA 5.1,H. ZONE,TRESOR,2026,9769.940212775125,-27.849541041056224,Downtrend,5
RBT/7.31,TEINT RENEE BLANCHE 7.31  60ML,RENEE BLANCHE,COLORATION 60ML,2026,9739.563506008151,-67.1220592665869,Downtrend,5
6192488208338,CIRE POMMADE RB 50ML-6192488208338,RENEE BLANCHE,MASS MARKET,2026,9640.714393333334,-95.87476324402313,Downtrend,3
HZT/6.12,TEINT IALO 6.12 100ML,H. ZONE,IALO,2026,9595.465019732459,106.78250683781482,Stable,6
HZT/12.00,TEINT IALO 1200 100ML,H. ZONE,IALO,2026,9543.199960655236,85.34770252536002,Downtrend,6
8006569715845,TEINT IALO 6.3 100ML,H. ZONE,IALO,2026,9510.061291249653,36.46235743046097,Uptrend,6
6192488209304,KIT SO NATURAL RB S/A 7.13,RENEE BLANCHE,MASS MARKET,2026,9366.75900500022,-48.882901036665174,Downtrend,2
RBT/7.3,TEINT RENEE BLANCHE 7.3  60ML,RENEE BLANCHE,COLORATION 60ML,2026,9344.722979025177,-71.565727351874,Downtrend,5
HZTT4.5,TEINT HZ TRESOR SA 4.5,H. ZONE,TRESOR,2026,9124.385132200036,42.46119763424455,Stable,5
HZTT6.606,TEINT HZ TRESOR SA 6.606,H. ZONE,TRESOR,2026,9063.405754099984,53.84092850044833,Stable,5
HZTT5.606,TEINT HZ TRESOR SA 5.606,H. ZONE,TRESOR,2026,9053.930153650028,85.96609792864297,Stable,5
HZTT9.00,TEINT HZ TRESOR SA 9.00,H. ZONE,TRESOR,2026,8956.36104924167,35.84775823684182,Stable,5
RBGDS550,RB GEL DOUCHE SENSUEL 550ML-6192488205856,RENEE BLANCHE,MASS MARKET,2025,8928.495499999999,-101.20206497013393,Downtrend,3
HZTT9.13,TEINT HZ TRESOR SA 9.13,H. ZONE,TRESOR,2026,8909.59230696667,11.794240665558812,Stable,5
8006569716569,H.ZONE P.MECHE 400G,H. ZONE,IALO,2022,8833.048295,-99.92231284964905,Downtrend,2
SHAMP_RB_BOT_1L,SHAMPOING RB BOTOX 1L-6192488209328,RENEE BLANCHE,0%SSP,2026,8827.336009999903,-38.14295365961629,Downtrend,2
HZTT7.3,TEINT HZ TRESOR SA 7.3,H. ZONE,TRESOR,2026,8824.196385858331,21.006027178646907,Stable,5
RBT/9.13,TEINT RENEE BLANCHE 9.13  60ML,RENEE BLANCHE,COLORATION 60ML,2026,8820.625960250003,-73.89156747760573,Downtrend,5
RBT/8.31,TEINT RENEE BLANCHE 8.31  60ML,RENEE BLANCHE,COLORATION 60ML,2026,8809.320896849851,-68.26113063176705,Downtrend,5
SHAMP_RB_COL_1L,SHAMPOING RB COLLAGENE 1L-6192488209342,RENEE BLANCHE,0%SSP,2026,8793.855075000003,-50.20935242330153,Downtrend,2
6192488208963,TEINT IALO 10.11 100ML,H. ZONE,IALO,2026,8687.346653333378,27.736333421573278,Stable,3
RBGDT550,RB GEL DOUCHE TROPICAL550ML-6192488205870,RENEE BLANCHE,MASS MARKET,2025,8657.660630000002,-101.15973843514878,Downtrend,3
HZT/8.3,TEINT IALO 8.3 100ML,H. ZONE,IALO,2026,8654.44277453533,10.024840290168079,Stable,6
RBT/6.66,TEINT RENEE BLANCHE 6.66  60ML,RENEE BLANCHE,COLORATION 60ML,2026,8577.629895691722,-52.40101020804635,Stable,5
RBO1203,R.B OXY 30V 120ML 6192488202831,RENEE BLANCHE,COLORATION 60ML,2026,8575.422635799998,-77.75333815838744,Downtrend,5
RBGDR550,RB GEL DOUCHE RELAXANT 550ML-6192488205986,RENEE BLANCHE,MASS MARKET,2025,8539.534660000001,-101.79322622002502,Downtrend,3
RBGDEX550,RB GEL DOUCHE EXOTIQUE 550ML-6192488206464,RENEE BLANCHE,MASS MARKET,2025,8478.743741666665,-101.3885331868196,Downtrend,3
MASK_RB_NU_900ML,MASQUE RB NUTRITIF 900ML-6192488204743,RENEE BLANCHE,0%SSP,2026,8460.132402483423,-55.83391442200928,Downtrend,5
TRBSA7.1,TEINT RB SANS AMONIAQUE 60ML 7.1,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,8305.136271416653,-29.237397873388144,Downtrend,4
6192488209243,KIT SO NATURAL RB S/A 9.0,RENEE BLANCHE,MASS MARKET,2026,8252.32889,-60.813132117262725,Downtrend,2
HZTT9.31,TEINT HZ TRESOR SA 9.31,H. ZONE,TRESOR,2026,8171.46210266667,16.313753306866342,Stable,5
HZTT5.5,TEINT HZ TRESOR SA 5.5,H. ZONE,TRESOR,2026,8167.716559983319,27.90765074141353,Stable,5
PA0295,BRASIL CACAU - GRADUAL SMOOTH SERUM 215 ML,CADIVEU,SOINS CAPILLAIRES,2026,8081.816684370994,-82.63789600093983,Downtrend,6
RBGDE50,RB GEL DOUCHE ENERGISANT 550ML-6192488205894,RENEE BLANCHE,MASS MARKET,2025,7967.727150000001,-101.85999771417403,Downtrend,3
HZTT6.31,TEINT HZ TRESOR SA 6.31,H. ZONE,TRESOR,2026,7946.137389958336,13.169643491992067,Stable,5
6192488209007,TEINT HZ TRESOR SA 9.11,H. ZONE,TRESOR,2026,7917.266126666708,-22.600111773661094,Downtrend,3
8006569145727,TEINT IALO 7.08 100ML,H. ZONE,IALO,2026,7873.51691366678,155.3009578629321,Uptrend,6
HZTT4.14,TEINT HZ TRESOR SA 4.14,H. ZONE,TRESOR,2026,7856.053746274998,40.94725840939441,Stable,5
